Neighborhood	Sector #	Population (2010)	Total Pop, 25 and older (2010)	Edu. Attainment: Less than High School (2010)	Edu. Attainment: High School Graduate (2010)	Edu. Attainment: Assoc./Prof. Degree (2010)	Edu. Attainment: Bachelor's Degree (2010)	Edu. Attainment: Postgraduate Degree (2010)	1999 Median Income ('99 Dollars)	2009 Median Income ('09 Dollars)	1999 Median Income ('11 Dollars)	2009 Med. Income ('13 Dollars)	Est. Pop. for which Poverty Calc. (2010)	Est. Pop. Under Poverty (2010)	Est. Percent Under Poverty (2010)
Allegheny Center	3	933	609	18.70%	44.50%	17.20%	15.80%	3.80%	$16,964	$20,911	$22,535	$22,793	954	324	34.00%
Allegheny West	3	462	239	9.20%	28.90%	6.70%	44.80%	10.50%	$26,638	$41,761	$35,386	$45,519	239	12	5.00%
Allentown	6	2,500	1,729	23.00%	63.30%	6.60%	5.60%	1.50%	$22,539	$29,274	$29,941	$31,909	2,212	630	28.50%
Arlington	7	1,869	1,232	14.90%	65.30%	10.10%	7.10%	2.50%	$27,167	$25,119	$36,089	$27,380	1,779	361	20.30%
Arlington Heights	7	244	166	18.10%	74.10%	0.00%	7.80%	0.00%	$18,646	$9,417	$24,769	$10,265	293	169	57.70%
Banksville	5	4,144	3,935	9.80%	51.50%	9.80%	22.30%	6.60%	$38,555	$50,625	$51,217	$55,181	4,170	243	5.80%
Bedford Dwellings	15	1,202	733	8.30%	49.90%	12.80%	14.20%	14.70%	$8,955	$9,992	$11,896	$10,891	1,203	589	49.00%
Beechview	5	7,974	5,211	11.00%	58.10%	11.10%	13.60%	6.20%	$34,079	$36,602	$45,270	$39,896	7,450	1,366	18.30%
Beltzhoover	6	1,925	1,369	19.30%	54.30%	13.80%	8.30%	4.20%	$26,750	$33,869	$35,535	$36,917	2,066	485	23.50%
Bloomfield	12	8,442	6,671	11.20%	42.60%	8.60%	24.10%	13.50%	$23,831	$30,830	$31,658	$33,604	9,192	1,781	19.40%
Bluff	15	6,600	2,834	14.10%	73.90%	4.40%	2.60%	5.00%	$11,515	$12,795	$15,297	$13,947	1,365	1,095	80.20%
Bon Air	6	808	715	21.50%	57.20%	8.10%	9.20%	3.90%	$40,417	$37,448	$53,690	$40,818	967	106	11.00%
Brighton Heights	2	7,247	5,597	9.90%	51.60%	13.10%	18.00%	7.40%	$34,466	$39,694	$45,785	$43,267	8,366	1,780	21.30%
Brookline	5	13,214	10,716	8.90%	57.50%	11.40%	16.20%	6.00%	$38,096	$45,691	$50,606	$49,803	14,454	1,692	11.70%
California-Kirkbride	3	761	416	8.90%	72.40%	2.40%	16.30%	0.00%	$23,750	$26,351	$31,550	$28,723	912	572	62.70%
Carrick	5	10,113	7,615	16.60%	58.70%	10.20%	10.10%	4.40%	$29,721	$37,563	$39,481	$40,943	10,435	1,546	14.80%
Central Business District	16	3,629	2,163	10.90%	44.90%	9.40%	16.10%	18.70%	$20,500	$37,475	$27,232	$40,848	2,405	692	28.80%
Central Lawrenceville	13	4,482	3,821	16.70%	55.40%	7.80%	16.20%	3.90%	$21,851	$31,816	$29,026	$34,679	4,561	1,001	21.90%
Central Northside	3	2,923	2,248	11.90%	46.30%	8.00%	25.20%	8.60%	$23,920	$33,004	$31,775	$35,974	2,824	694	24.60%
Central Oakland	14	6,086	1,075	23.60%	39.50%	3.40%	14.90%	18.50%	$14,888	$16,717	$19,777	$18,222	4,472	2,897	64.80%
Chartiers City	4	477	330	15.80%	47.00%	19.70%	10.60%	7.00%	$31,806	$40,125	$42,251	$43,736	418	22	5.30%
Chateau	3	11	0	N/A	N/A	N/A	N/A	N/A	$7,440	$0	$9,883	$0	92	92	100.00%
Crafton Heights	4	3,814	2,731	17.50%	62.80%	9.60%	9.40%	0.70%	$35,625	$39,288	$47,324	$42,824	3,837	630	16.40%
Crawford-Roberts	15	2,256	1,312	27.60%	46.00%	5.90%	13.70%	6.80%	$13,449	$14,932	$17,866	$16,276	2,048	988	48.20%
Duquesne Heights	6	2,425	1,887	8.50%	48.30%	7.90%	22.00%	13.30%	$42,708	$44,160	$56,733	$48,134	2,320	331	14.30%
East Allegheny	3	2,136	1,892	17.40%	51.10%	11.70%	13.60%	6.20%	$17,267	$28,172	$22,938	$30,707	2,425	538	22.20%
East Carnegie	4	570	204	9.80%	79.90%	4.90%	0.00%	5.40%	$26,429	$40,750	$35,108	$44,418	255	32	12.50%
East Hills	11	3,169	1,532	11.40%	64.80%	11.30%	11.40%	1.10%	$17,159	$21,658	$22,794	$23,607	2,588	1,073	41.50%
East Liberty	12	5,869	4,176	15.40%	49.00%	9.10%	16.50%	10.00%	$18,778	$22,958	$24,945	$25,024	6,137	2,030	33.10%
Elliott	4	2,381	1,481	23.20%	47.70%	19.00%	9.50%	0.70%	$29,954	$26,042	$39,791	$28,386	2,268	445	19.60%
Esplen	4	301	174	34.50%	54.00%	5.20%	0.00%	6.30%	$28,000	$13,618	$37,195	$14,844	262	159	60.70%
Fairywood	4	1,002	233	14.60%	51.50%	17.60%	16.30%	0.00%	$11,222	$34,438	$14,907	$37,537	400	150	37.50%
Fineview	3	1,285	986	16.00%	66.80%	9.90%	3.70%	3.50%	$17,535	$29,643	$23,294	$32,311	1,415	473	33.40%
