Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 or more","Margin of Error; Total: - $1,000,000 or more"
Allegheny Center,1,38,19,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,9,12,13,0,10,15,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Allegheny West,2,77,34,6,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,19,11,16,3,6,6,10,0,10,0,10,6,9,9,10,17,19,0,10,0,10,0,10,6,9
Allentown,3,575.0,124.004032193,48.0,36.4005494464,19.0,21.8403296678,32.0,33.1662479035,49.0,35.8608421541,64.0,54.6808924579,52.0,34.9428104193,21.0,26.7020598457,101.0,66.6033032214,58.0,39.37003937,77.0,60.605280298,37.0,38.7556447501,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,12.0,22.1133443875,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,5.0,16.2480768093,0.0,17.3205080757,0.0,17.3205080757
Arlington,4,469.0,93.866927083,6.0,17.3205080757,16.0,19.3390796058,6.0,17.3205080757,41.0,30.8868904229,54.0,37.2155881319,57.0,32.4653661615,50.0,33.7490740613,61.0,35.5105618091,90.0,50.8133840636,31.0,24.7184141886,36.0,25.0199920064,5.0,16.7630546143,4.0,16.7630546143,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,10.0,17.1464281995,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,2.0,14.6969384567
Arlington Heights,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Banksville,6,980.0,116.773284616,28.0,36.3868107973,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,64.0,45.7165178027,48.0,43.931765273,53.0,43.382023927,79.0,51.923019943,55.0,44.2040722106,97.0,58.6515131944,180.0,79.2401413426,163.0,74.8999332442,140.0,78.4856674814,44.0,36.9052841745,0.0,20.0,14.0,28.7923600978,0.0,20.0,0.0,20.0,0.0,20.0,15.0,30.4138126515
Bedford Dwellings,7,51,37,0,10,5,8,9,13,20,22,1,5,0,10,0,10,0,10,0,10,0,10,0,10,3,6,0,10,0,10,0,10,13,21,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Beechview,8,2043.0,189.261723548,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,10.0,33.9999999999,25.0,34.9571165858,48.0,40.249223595,176.0,62.6657801355,175.0,71.2671032103,316.0,100.786903911,381.0,118.676029593,335.0,95.8488393252,150.0,59.6154342431,155.0,56.5066367785,128.0,68.8331315574,45.0,43.4741302386,26.0,39.0384425919,32.0,37.9077828421,34.0,39.153543901,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,7.0,32.3109888427,0.0,31.6227766016
Beltzhoover,9,543.0,126.198256723,4.0,19.0787840283,0.0,20.0,75.0,59.5063021873,96.0,58.6429876456,54.0,55.9821400091,10.0,22.9128784748,28.0,28.4604989415,129.0,70.2068372739,22.0,25.7099202644,6.0,19.519221296,20.0,28.0000000001,27.0,30.3644529014,23.0,38.1575680566,26.0,27.5136329843,9.0,23.579652245,5.0,19.0787840283,0.0,20.0,9.0,22.2710574513,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Bloomfield,10,1650.0,149.338541576,5.0,30.8058436015,18.0,33.4664010613,23.0,35.0,28.0,35.7910603364,17.0,34.985711369,20.0,31.6543835827,4.0,30.8058436015,58.0,37.7491721763,113.0,55.5967624957,45.0,32.109188716,124.0,48.5695377784,131.0,59.4810894318,116.0,49.9799959983,225.0,64.054664155,103.0,53.2634959422,175.0,70.6823881883,112.0,54.3874985635,125.0,52.5071423714,61.0,38.6134691526,101.0,47.9583152333,25.0,37.8021163429,21.0,38.0788655293,0.0,31.6227766016,0.0,31.6227766016
Bluff,11,119.0,53.5256947643,0.0,20.0,6.0,19.5192212959,10.0,19.519221296,18.0,21.0713075057,0.0,20.0,38.0,46.4865571967,0.0,20.0,9.0,22.2710574513,3.0,18.0277563773,5.0,19.0787840283,4.0,18.6815416922,7.0,21.6564078277,4.0,18.3303027798,3.0,18.0277563773,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,7.0,21.0713075057,5.0,18.6815416923,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Bon Air,12,310,59,3,5,10,15,0,10,0,10,0,10,16,19,0,10,0,10,29,26,35,24,88,44,38,44,61,36,8,9,1,6,0,10,0,10,16,20,0,10,0,10,5,16,0,10,0,10,0,10
Brighton Heights,13,2219.0,173.893645657,9.0,28.7228132327,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,34.0,35.2987251894,22.0,33.6005952328,62.0,39.2810386828,80.0,54.1848687366,44.0,38.9615194775,133.0,54.5985347788,234.0,81.3080561815,238.0,69.4982014156,275.0,87.567117116,387.0,97.6012295004,332.0,95.5353337776,237.0,92.7361849549,80.0,48.948953002,41.0,39.37003937,11.0,30.3973683071,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106
Brookline,14,4376.0,323.978394341,54.0,47.9895822029,39.0,47.0956473573,5.0,38.2622529394,23.0,38.9101529166,12.0,39.6106046406,43.0,53.712196008,45.0,50.2493781055,160.0,74.2563128629,252.0,89.7496518099,400.0,139.84634425,789.0,168.005952276,662.0,163.960361063,638.0,188.313568285,646.0,143.680200445,227.0,84.5931439303,128.0,67.6091709755,86.0,68.5054742339,69.0,55.3082272361,49.0,55.4256258422,11.0,41.5210789841,0.0,38.729833462,8.0,41.0974451759,22.0,52.6212884677,8.0,39.2937654088
California-Kirkbride,15,85,31,0,10,9,9,0,10,11,10,0,10,11,14,4,6,11,15,23,19,0,10,4,7,0,10,0,10,0,10,0,10,4,7,8,13,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Carrick,16,2660.0,223.861564365,9.0,35.2845575287,36.0,40.2367990774,42.0,62.42595614,44.0,43.6119249747,50.0,46.0977222864,53.0,42.2965719651,116.0,51.9711458407,318.0,84.3623138611,347.0,95.6294933584,375.0,107.0,395.0,111.798926651,255.0,74.0945342114,223.0,94.4404574321,217.0,81.5536633143,24.0,37.3496987939,71.0,72.5396443332,15.0,37.6828873629,40.0,59.2030404626,8.0,37.3630833845,15.0,42.7200187266,0.0,36.0555127546,7.0,36.6606055596,0.0,36.0555127546,0.0,36.0555127546
Central Business District,17,402.0,103.344085462,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,11.0,28.0891438104,0.0,24.4948974278,0.0,24.4948974278,26.0,38.2230297072,11.0,27.4954541696,0.0,24.4948974278,35.0,34.756294394,11.0,29.3428015023,40.0,47.5815090134,0.0,24.4948974278,65.0,53.5256947643,52.0,41.4246303544,11.0,25.1594912509,37.0,39.4208066888,83.0,70.8872343938,10.0,28.0891438104,10.0,26.9258240357
Central Lawrenceville,18,1055.0,123.211200789,0.0,24.4948974278,13.0,26.3818119165,0.0,24.4948974278,7.0,23.7486841741,8.0,25.3771550809,57.0,55.1815186453,17.0,26.3818119165,99.0,57.8791845139,92.0,52.6782687643,58.0,46.0543157587,78.0,41.8688428309,56.0,44.0,29.0,31.7017349683,147.0,49.4873721266,88.0,52.6877594893,112.0,46.5832587955,36.0,28.1069386451,65.0,35.9304884464,43.0,29.3768616432,28.0,33.5410196625,12.0,24.1039415864,10.0,27.4954541696,0.0,24.4948974278,0.0,24.4948974278
Central Northside,19,627.0,104.359954005,10.0,15.0996688706,0.0,17.3205080757,4.0,16.2480768093,11.0,20.6155281281,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,39.0,49.0815647672,14.0,26.1533936613,16.0,23.1516738056,48.0,41.9642705167,10.0,17.9164728671,6.0,16.7630546142,36.0,23.0651251894,60.0,43.9089968002,56.0,35.5668384876,56.0,37.483329628,90.0,37.229020938,79.0,42.0594816896,71.0,35.0570962859,21.0,18.973665961,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Central Oakland,20,197.0,62.7773844629,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,7.0,19.8997487421,17.0,23.6854385647,14.0,26.1533936613,80.0,33.1662479036,7.0,19.2093727123,22.0,25.3179778023,21.0,29.5972971739,8.0,18.547236991,0.0,17.3205080757,11.0,22.1133443875,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,10.0,20.6155281281
Chartiers City,21,166,57,0,10,9,13,0,10,0,10,0,10,2,4,4,8,15,18,14,18,53,53,0,10,24,23,11,18,29,31,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Chateau,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Crafton Heights,23,1014.0,115.477270491,9.0,21.6564078277,6.0,19.519221296,32.0,36.3868107973,12.0,21.0713075057,23.0,26.5518360947,24.0,24.9799919936,33.0,30.9354165965,4.0,18.6815416922,108.0,45.3321078265,120.0,56.2227711875,183.0,71.0352025407,152.0,50.2593274925,77.0,38.832975678,109.0,40.1372644808,51.0,28.3019433962,40.0,29.4957624075,13.0,26.4575131106,18.0,21.0713075057,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Crawford-Roberts,24,290.0,80.6039701255,10.0,18.8679622641,10.0,18.8679622641,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,17.2046505341,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,44.0,44.1474801093,8.0,16.4012194669,47.0,34.9857113691,57.0,55.6057550978,42.0,34.4818792991,0.0,14.1421356237,0.0,14.1421356237,63.0,40.3112887415,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Duquesne Heights,25,812.0,100.004999875,6.0,14.8660687473,10.0,18.0277563773,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,17.2046505341,43.0,31.1448230048,41.0,25.0,96.0,45.9673797382,47.0,33.1058907145,129.0,75.9605160593,26.0,21.9317121995,120.0,61.0573500899,67.0,44.418464629,84.0,55.0726792521,7.0,15.6204993518,5.0,13.4536240471,17.0,19.7989898732,64.0,39.2937654088,30.0,28.4253408071,4.0,12.2065556157,0.0,14.1421356237,7.0,14.8660687473
East Allegheny,26,447.0,90.5538513814,8.0,15.6204993518,23.0,19.7989898732,27.0,25.0,27.0,25.079872408,0.0,14.1421356237,18.0,19.8494332413,41.0,43.1740662898,32.0,41.2310562562,45.0,44.6430285711,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,18.0,21.9544984001,14.0,19.7230829233,26.0,22.803508502,62.0,42.4381903478,30.0,24.0831891576,7.0,14.8660687473,42.0,32.8024389337,20.0,23.2594066992,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,7.0,14.1421356237
East Carnegie,27,128,41,0,10,0,10,0,10,0,10,8,10,0,10,0,10,5,8,30,20,22,22,20,12,15,15,5,7,6,9,0,10,12,13,0,10,0,10,0,10,5,10,0,10,0,10,0,10,0,10
East Hills,28,544.0,118.203214846,0.0,17.3205080757,28.0,33.8230690506,30.0,37.4165738677,16.0,20.9284495365,70.0,52.7730992078,28.0,28.7228132327,15.0,20.3224014329,89.0,48.3114893167,32.0,26.9072480941,47.0,48.8876262463,60.0,42.0594816896,52.0,55.3985559378,25.0,27.0,16.0,20.4205778566,20.0,23.4946802489,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,8.0,18.547236991,0.0,17.3205080757,8.0,17.9164728672,0.0,17.3205080757,0.0,17.3205080757
